FID,city,lat,lon,pm2_5,AOD,AirTemp,DPTemp,RH,SeaLevelPr,WindDir,WindSpeed,NDVI,DEM,POINT_X,POINT_Y
81,Zhenzhou,32.280299999999997,119.170000000000000,16.600000000000001,0.7312540,182.3320007,-53.2507019,34.0829010,10225.0996094,266.3009949,38.2019005,2180,10,-1012018.637060000000000,-356913.988107000010000
82,Zhongxing,33.703899999999997,118.679199999999990,24.699999999999999,0.4500230,181.1119995,-63.5461998,32.5912018,10219.0000000,316.9429932,30.3299007,1721,17,-1040377.387380000000000,-194622.960055000000000
83,Baishan,41.938499999999998,126.419700000000010,9.000000000000000,0.6000000,38.4191017,-73.2848969,58.7736015,10167.4003906,73.6433029,27.0562992,1045,472,-295932.798491999970000,664553.523502000030000
84,Erdaojiang,41.776400000000002,126.031899999999990,12.800000000000001,0.6553690,44.0262985,-72.9460983,57.3661995,10164.7998047,123.6650009,33.2099991,1469,408,-328770.264269999990000,647881.764989000050000
85,Hepingjie,42.059699999999999,126.915800000000000,10.300000000000001,0.6203580,35.8955002,-74.6623001,59.0643997,10168.4003906,54.1475983,24.7975006,2149,729,-254484.873866999990000,676546.317679999980000
86,Linjiang,41.806899999999999,126.907799999999990,10.500000000000000,0.8609570,32.8065987,-79.8544998,58.4197006,10169.0000000,41.8077011,21.8066006,905,339,-256157.598520000000000,648625.214274000030000
87,Sanchazi,42.081699999999998,126.600300000000000,9.800000000000001,0.8388480,37.3390007,-75.2773972,58.4944992,10168.0000000,68.9753036,25.9899006,1802,557,-280391.213267999990000,679842.834743999990000
88,Anshan,41.123600000000003,122.989999999999990,23.500000000000000,1.6891500,53.1230011,-82.5522003,52.4822006,10187.2001953,289.0490112,32.3460999,1286,49,-585681.196650999950000,590017.027501999980000
89,Beipiao,41.791899999999998,120.779200000000000,9.400000000000000,1.6450500,68.9684982,-206.5149994,26.0027008,10198.7998047,316.2049866,23.5606995,1942,275,-761104.832023000000000,678977.937646999960000
90,Benxi,41.288600000000002,123.765000000000000,45.899999999999999,1.5018300,37.0190010,-33.2476997,71.8184967,10192.0000000,250.0469971,20.0125008,1566,199,-519889.600918999990000,603845.338653999960000
91,Chaoyang,41.570300000000003,120.458600000000000,12.400000000000000,1.1547600,76.9985962,-219.9709930,23.3551006,10199.0000000,319.9979858,20.0009995,694,163,-790042.911953000000000,657139.001026000010000
92,Dalianwan,39.028599999999997,121.694999999999990,23.100000000000001,0.5201680,46.1590996,-87.6975021,52.8340988,10209.9003906,22.1392994,79.7135010,1598,22,-714839.199274000010000,367096.904574999990000
93,Dandong,40.129199999999997,124.394700000000000,27.600000000000001,1.3747801,62.9203987,-40.6579018,61.5245018,10174.0000000,320.4719849,40.2401009,832,10,-475773.038566000000000,472416.429696000010000
94,Dashiqiao,40.637300000000003,122.502500000000000,15.500000000000000,1.2108600,64.5288010,-107.9219971,43.9327011,10200.7998047,354.2619934,49.0537987,1212,17,-630804.024713000050000,539350.024162000050000
95,Dongling,41.814399999999999,123.575800000000000,25.699999999999999,1.5711300,64.7751999,-119.4029999,41.4361000,10184.0000000,319.4169922,29.9717007,1595,52,-531261.530525999960000,662915.547192999980000
96,Fengcheng,40.453600000000002,124.071700000000010,29.000000000000000,1.4196100,54.5541992,-38.1589012,64.6999969,10171.5000000,310.5270081,40.6053009,1276,65,-500684.632076999990000,509933.576848000000000
97,Fushun,41.855800000000002,123.923300000000000,26.100000000000001,1.8247300,57.9440994,-99.6788025,47.1702995,10183.9003906,304.0780029,29.8684006,2037,87,-502310.259828999990000,665641.909191000040000
98,Gongchangling,41.116700000000002,123.450000000000000,34.299999999999997,1.2975301,42.3160019,-54.4930992,63.2583008,10188.7998047,262.4559937,23.9580002,3935,207,-547479.525231000040000,586581.222026000030000
99,Haicheng,40.851599999999998,122.747500000000000,17.899999999999999,1.0187100,60.8941994,-95.3367996,47.5499001,10194.2998047,326.3989868,43.3335991,931,33,-608339.637039999940000,561463.426371000010000
100,Heishan,41.689200000000000,122.112799999999990,9.699999999999999,1.4360700,59.5425987,-133.1600037,39.6011009,10190.7001953,297.2040100,32.7094994,902,26,-652825.486437999990000,657992.945625000050000
101,Huanren,41.264699999999998,125.366699999999990,22.300000000000001,1.1782500,46.4473000,-57.7448997,61.0931015,10165.4003906,209.4739990,38.0321999,2444,260,-386819.334180000010000,593753.923620000020000
102,Hushitai,41.932200000000002,123.511399999999990,20.800000000000001,1.3380200,63.8513985,-115.9489975,42.3372993,10184.0000000,316.9500122,29.9743996,2003,62,-535576.553793000060000,676264.726298999970000
103,Jinzhou,41.107799999999997,121.141700000000000,9.699999999999999,1.1655000,72.9965973,-202.7960052,26.0330009,10202.0000000,319.9890137,30.0009003,855,25,-739180.768047000050000,600835.298283000010000
104,Jiupu,41.066699999999997,122.950000000000000,22.899999999999999,0.9508600,54.3861008,-84.0400009,51.7983017,10187.7998047,293.7990112,34.2596016,1141,30,-589516.744739999990000,583974.845113000020000
105,Kuandian,40.728600000000000,124.784700000000000,28.300000000000001,1.4138300,32.0028000,-43.9640999,69.8154984,10178.0000000,319.9960022,59.9900017,1216,281,-438836.392662999980000,536921.396000999960000
106,Langtou,40.026100000000000,124.328599999999990,26.699999999999999,1.3727500,60.0815010,-34.3241997,64.2546005,10173.0000000,339.4129944,49.7113991,1641,13,-482094.692038999990000,461327.573110000000000
107,Lianshan,40.764299999999999,120.853300000000000,9.900000000000000,0.7758270,72.0905991,-175.3339996,30.1534004,10200.2001953,311.1329956,30.8938007,1218,17,-767022.832233999970000,565192.731040999990000
108,Liaoyang,41.271900000000002,123.173100000000010,27.399999999999999,1.7912000,49.7304001,-76.1493988,55.0093994,10187.0000000,279.7799988,27.5781002,942,30,-569165.709691000050000,605307.515121000000000
109,Liaozhong,41.506100000000004,122.724200000000000,16.199999999999999,1.3894700,57.1258011,-103.9100037,46.3624001,10186.7001953,295.5679932,31.9887009,1044,16,-604215.357652000040000,633858.327441000030000
110,Linghai,41.165300000000002,121.366699999999990,7.700000000000000,1.7449600,72.6100998,-194.5449982,27.2280998,10201.5996094,319.3139954,30.2406006,1202,26,-719918.474969999980000,605490.308276999970000
